parameter_server-1  | [Parameter Server] Starting on port 12345 (Hybrid Mode)
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.203ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.547ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 1000 images
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.317ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.375ms
parameter_server-1  | [Parameter Server] Request #1 (OUTPUT) processed in 0.999ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #2)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 26.864ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 46.729ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 19.984ms
parameter_server-1  | [Parameter Server] Request #2 (HIDDEN) processed in 100.070ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 1000 images (sync #1)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 29.657ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 16.319ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 103.774ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 1000 images
parameter_server-1  | [Parameter Server] Worker connected (request #3)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.020ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.244ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.492ms
parameter_server-1  | [Parameter Server] Request #3 (OUTPUT) processed in 0.944ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 1000 images (sync #1), avg_loss=0.093090
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.083ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.307ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.329ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 1000 images
parameter_server-1  | [Parameter Server] Worker connected (request #4)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 9.656ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 21.134ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 1000 images (sync #1)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 8.996ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 2.590ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 40.573ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 1000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 4.392ms
parameter_server-1  | [Parameter Server] Request #4 (HIDDEN) processed in 39.175ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 2000 images (sync #2), avg_loss=0.092690
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.067ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.161ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 0.850ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 2000 images
parameter_server-1  | [Parameter Server] Worker connected (request #5)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.015ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.161ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.271ms
parameter_server-1  | [Parameter Server] Request #5 (OUTPUT) processed in 0.646ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #6)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 15.661ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 14.436ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 3.699ms
parameter_server-1  | [Parameter Server] Request #6 (HIDDEN) processed in 36.910ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 2000 images (sync #2)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 30.497ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 3.627ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 52.232ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 2000 images
worker1_stage2-1    | [Stage2 Group 1] Syncing after 2000 images (sync #2), avg_loss=0.092613
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.093ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.066ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.238ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 2000 images
parameter_server-1  | [Parameter Server] Worker connected (request #7)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.019ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.168ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.225ms
parameter_server-1  | [Parameter Server] Request #7 (OUTPUT) processed in 0.609ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #8)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 3.512ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 21.579ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 2000 images (sync #2)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 2.532ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 3.827ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 37.499ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 2000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 8.938ms
parameter_server-1  | [Parameter Server] Request #8 (HIDDEN) processed in 36.941ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #9)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.014ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.174ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.132ms
parameter_server-1  | [Parameter Server] Request #9 (OUTPUT) processed in 0.611ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 3000 images (sync #3), avg_loss=0.092008
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.053ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.016ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 0.926ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 3000 images
parameter_server-1  | [Parameter Server] Worker connected (request #10)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 4.559ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 35.995ms
worker2_stage1-1    | [Stage1 Group 2] Syncing after 3000 images (sync #3)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 11.568ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 17.675ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 69.514ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 3000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 12.198ms
parameter_server-1  | [Parameter Server] Request #10 (HIDDEN) processed in 61.742ms
parameter_server-1  | [Parameter Server] === Processed 10 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #11)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.022ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.202ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.420ms
parameter_server-1  | [Parameter Server] Request #11 (OUTPUT) processed in 0.821ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 3000 images (sync #3), avg_loss=0.091797
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.068ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.239ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.231ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 3000 images
parameter_server-1  | [Parameter Server] Worker connected (request #12)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 4.854ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 17.439ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 8.937ms
parameter_server-1  | [Parameter Server] Request #12 (HIDDEN) processed in 33.478ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 3000 images (sync #3)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 4.189ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 5.035ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 34.255ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 3000 images
worker2_stage2-1    | [Stage2 Group 2] Syncing after 4000 images (sync #4), avg_loss=0.091775
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.073ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.167ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 2.261ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 4000 images
parameter_server-1  | [Parameter Server] Worker connected (request #13)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.019ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.295ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.467ms
parameter_server-1  | [Parameter Server] Request #13 (OUTPUT) processed in 0.921ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #14)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 8.270ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 24.282ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 3.509ms
parameter_server-1  | [Parameter Server] Request #14 (HIDDEN) processed in 52.290ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 4000 images (sync #4)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 4.506ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 4.223ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 54.136ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 4000 images
parameter_server-1  | [Parameter Server] Worker connected (request #15)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.041ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 1.066ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.200ms
parameter_server-1  | [Parameter Server] Request #15 (OUTPUT) processed in 1.578ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 4000 images (sync #4), avg_loss=0.091803
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.106ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.020ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 2.182ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 4000 images
parameter_server-1  | [Parameter Server] Worker connected (request #16)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 5.958ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 25.449ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 8.430ms
parameter_server-1  | [Parameter Server] Request #16 (HIDDEN) processed in 47.262ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 4000 images (sync #4)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 5.945ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 10.718ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 50.926ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 4000 images
worker2_stage2-1    | [Stage2 Group 2] Syncing after 5000 images (sync #5), avg_loss=0.091945
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.114ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.074ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.873ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 5000 images
parameter_server-1  | [Parameter Server] Worker connected (request #17)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.022ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.583ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.186ms
parameter_server-1  | [Parameter Server] Request #17 (OUTPUT) processed in 1.290ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #18)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 6.571ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 18.569ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 2.651ms
parameter_server-1  | [Parameter Server] Request #18 (HIDDEN) processed in 34.335ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 5000 images (sync #5)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 7.390ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 3.924ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 36.795ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 5000 images
parameter_server-1  | [Parameter Server] Worker connected (request #19)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.014ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.167ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.158ms
parameter_server-1  | [Parameter Server] Request #19 (OUTPUT) processed in 0.545ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 5000 images (sync #5), avg_loss=0.092062
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.064ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.018ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.223ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 5000 images
parameter_server-1  | [Parameter Server] Worker connected (request #20)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 5.090ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 16.585ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 17.264ms
parameter_server-1  | [Parameter Server] Request #20 (HIDDEN) processed in 41.603ms
parameter_server-1  | [Parameter Server] === Processed 20 total requests ===
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 5000 images (sync #5)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 5.070ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 10.463ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 50.404ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 5000 images
parameter_server-1  | [Parameter Server] Worker connected (request #21)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.017ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.222ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.352ms
parameter_server-1  | [Parameter Server] Request #21 (OUTPUT) processed in 0.770ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 6000 images (sync #6), avg_loss=0.092343
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.082ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.234ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.223ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 6000 images
parameter_server-1  | [Parameter Server] Worker connected (request #22)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 2.997ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 17.507ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 5.018ms
parameter_server-1  | [Parameter Server] Request #22 (HIDDEN) processed in 30.135ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 6000 images (sync #6)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 5.880ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 4.708ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 32.212ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 6000 images
parameter_server-1  | [Parameter Server] Worker connected (request #23)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.025ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.200ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.379ms
parameter_server-1  | [Parameter Server] Request #23 (OUTPUT) processed in 0.795ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 6000 images (sync #6), avg_loss=0.093206
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.104ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.181ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.377ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 6000 images
parameter_server-1  | [Parameter Server] Worker connected (request #24)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 3.854ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 22.157ms
worker1_stage1-1    | [Stage1 Group 1] Syncing after 6000 images (sync #6)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 5.449ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 2.001ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 38.434ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 6000 images
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 4.563ms
parameter_server-1  | [Parameter Server] Request #24 (HIDDEN) processed in 34.890ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 7000 images (sync #7), avg_loss=0.100408
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.088ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.034ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 3.246ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
worker2_stage2-1    | [Stage2 Group 2] Processed 7000 images
parameter_server-1  | [Parameter Server] Worker connected (request #25)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.022ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.181ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.184ms
parameter_server-1  | [Parameter Server] Request #25 (OUTPUT) processed in 0.505ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
parameter_server-1  | [Parameter Server] Worker connected (request #26)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 2 in 3.515ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 18.725ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 2 in 3.963ms
parameter_server-1  | [Parameter Server] Request #26 (HIDDEN) processed in 36.334ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage1-1    | [Stage1 Group 2] Syncing after 7000 images (sync #7)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 6.116ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 3.852ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 39.344ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 7000 images
parameter_server-1  | [Parameter Server] Worker connected (request #27)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 1 in 0.019ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.217ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 1 in 0.421ms
parameter_server-1  | [Parameter Server] Request #27 (OUTPUT) processed in 0.942ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage2-1    | [Stage2 Group 1] Syncing after 7000 images (sync #7), avg_loss=0.104140
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 0.095ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 0.215ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1.491ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 7000 images
parameter_server-1  | [Parameter Server] Worker connected (request #28)
parameter_server-1  | [Parameter Server] Received 235200 HIDDEN weights from worker 1 in 4.256ms
parameter_server-1  | [Parameter Server] Updated HIDDEN elastic center in 18.636ms
parameter_server-1  | [Parameter Server] Sent 235200 HIDDEN center weights to worker 1 in 10.278ms
parameter_server-1  | [Parameter Server] Request #28 (HIDDEN) processed in 43.406ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker1_stage1-1    | [Stage1 Group 1] Syncing after 7000 images (sync #7)
worker1_stage1-1    | [Worker 1] Sent 235200 HIDDEN weights in 3.848ms
worker1_stage1-1    | [Worker 1] Received 235200 HIDDEN center weights in 3.346ms
worker1_stage1-1    | [Worker 1] HIDDEN sync completed in 44.662ms
worker1_stage1-1    | [Stage1 Group 1] Successfully synced weights
worker1_stage1-1    | [Stage1 Group 1] Processed 7000 images
parameter_server-1  | [Parameter Server] Worker connected (request #29)
parameter_server-1  | [Parameter Server] Received 3000 OUTPUT weights from worker 2 in 0.054ms
parameter_server-1  | [Parameter Server] Updated OUTPUT elastic center in 0.202ms
parameter_server-1  | [Parameter Server] Sent 3000 OUTPUT center weights to worker 2 in 0.264ms
parameter_server-1  | [Parameter Server] Request #29 (OUTPUT) processed in 0.731ms
parameter_server-1  | [Parameter Server] Waiting for worker connection...
worker2_stage2-1    | [Stage2 Group 2] Syncing after 8000 images (sync #8), avg_loss=0.143697
worker2_stage2-1    | [Worker 2] Sent 3000 OUTPUT weights in 0.081ms
worker2_stage2-1    | [Worker 2] Received 3000 OUTPUT center weights in 0.191ms
worker2_stage2-1    | [Worker 2] OUTPUT sync completed in 1.348ms
worker2_stage2-1    | [Stage2 Group 2] Successfully synced weights
